Judul,topics,probabilities
perbandingan usabilitas aplikasi taxi online android grabcar uber unified theory of acceptance and use of technology utaut,26,0.6102083390052754
analisis sentimen opini pilkada dki dokumen twitter berbahasa indonesia naive bayes pembobotan emoji,6,1.0
analisis sentimen tingkat kepuasan pengguna penyedia layanan telekomunikasi seluler indonesia twitter metode support vector machine lexicon based features,121,1.0
analisis sentimen opini film dokumen twitter berbahasa indonesia naive bayes perbaikan baku,6,1.0
penentuan lokasi pasang wifiid corner metode ahp algoritma genetika studi pt telkom witel kediri,15,0.8189763346141116
analisis sentimen tayangan televisi berdasarkan opini masyarakat media sosial twitter metode knearest neighbor pembobotan retweet,6,1.0
implementasi learning vector quantization lvq klasifikasi kualitas air sungai,29,0.351679479829941
peramalan permintaan daging sapi nasional metode multifactors high order fuzzy time series model,34,0.6201987113836247
prediksi volume impor beras nasional metode multifactors highorder fuzzy time series,34,0.08930450079540721
implementasi algoritma dijkstra menemukan jarak terdekat lokasi pengguna tanaman tuju berbasis android studi kebun raya purwodadi,0,0.9205574743518753
sistem pendukung keputusan pemilihan personel homeband universitas brawijaya metode profile matching,37,0.5584192507101282
diagnosis penyakit kulit kucing metode modified knearest neighbor,0,1.0
implementasi metode profile matching seleksi penerimaan anggota asisten praktikum studi laboratorium pembelajaran kelompok praktikum basis data filkom,-1,0.0
analisis kualitas layanan website bukalapak kepuasan pengguna esqual,98,1.0
pengaruh kualitas layanan kepuasan kepercayaan loyalitas pelanggan ecommerce studi berrybenka,46,0.1424667915866863
perancangan website unit kegiatan mahasiswa metodologi user centered design,-1,0.0
analisis perbandingan algoritma floydwarshall dijkstra menentukan jalur terpendek jaringan openflow,48,1.0
optimasi menu makanan pemenuhan gizi penderita kanker algoritme genetika,24,1.0
named entity recognition hidden markov model algoritma viterbi teks tanaman obat,-1,0.0
analisis performa sistem pemantauan suhu kelembaban berbasis wireless sensor network,65,0.841886895146622
pengembangan game d warship operation trikora,62,1.0
optimasi komposisi pakan memenuhi kebutuhan nutrisi ayam petelur biaya minimum improved particle swarm optimization ipso,-1,0.0
implementasi alokasi memori dinamis sistem komputer berbasis clustering kmeans,7,1.0
penentuan kelayakan lokasi wifiid corner ahppso studi telkom kota kediri,15,0.6624730884291754
pembangunan aplikasi iqro berbasis android google speech,94,1.0
deteksi penghuni ruangan berpintu smart home berbasis arduino sensor pir,92,1.0
optimasi susunan gizi makanan pasien rawat jalan penyakit jantung real coded genetic algorithm rcga,24,1.0
identifikasi kesalahan penulisan typographical error dokumen berbahasa indonesia metode ngram levenshtein distance,43,0.36676518924897134
pengembangan aplikasi mobile pelayanan administrasi posyandu google maps api geolocation tagging,66,1.0
prediksi suku bunga acuan bi rate metode adaptive neuro fuzzy inference system anfis,-1,0.0
pengembangan aplikasi mobile sistem keamanan kantor nfc near field communication wifi studi pt rahmi ida nusantara,-1,0.0
evaluasi manajemen risiko teknologi informasi cobit it risk studi pt petrokimia gresik,79,1.0
evaluasi manajemen risiko teknologi informasi kerangka kerja cobit studi perum jasa tirta i malang,79,1.0
implementasi light painting photography analisis cakupan jaringan wireless lan perangkat berbasis wemos d,15,0.6128372424074702
penentuan kelayakan lokasi usaha franchise metode ahp vikor,-1,0.0
prediksi kebutuhan air pdam kota malang metode fuzzy time series algoritma genetika,-1,0.0
evaluasi manajemen risiko teknologi informasi framework cobit studi pt kimia farma persero tbk plant watudakon,79,1.0
sistem pakar diagnosis hamapenyakit tanaman sedap malam metode naive bayescertainty factor berbasis android,0,1.0
analisis faktorfaktor memengaruhi penggunaan kmspico aktivasi produk microsoft mahasiswa universitas xyz,-1,0.0
pembangunan aplikasi penyedia informasi lowongan pekerjaan youtube api smartphone android,10,0.7390867205254161
analisis kualitas layanan website ecommerce berrybenka kepuasan pengunjung metode webqual importance performance analysis ipa,21,0.2659909803772444
klasifikasi standar produk baja pt krakatau steel persero tbk berdasarkan komposisi kimia sifat mekanis baja fuzzy knearest neighbor fuzzy knn,0,0.7076410053759103
evaluasi kualitas layanan situs tiketcom kepuasan pengguna webqual importance performance analysis ipa,21,1.0
penerapan bayesian network sistem pakar ekspresi wajah bahasa tubuh pengamatan indra penglihatan foto,16,0.9248082925939874
peramalan harga saham support vector regression algoritme genetika,9,0.12903658773110324
optimasi vektor bobot learning vector quantization algoritme genetika penentuan kualitas susu sapi,86,0.9349345102235344
optimasi komposisi makanan diet penderita hipertensi algoritme genetika,24,0.9779943801406241
analisis perbandingan performa web service bahasa pemrograman python php perl client berbasis android,13,0.07936420945955332
perbandingan test case generation pendekatan genetic algorithm mutation analysis sampling,-1,0.0
penentuan karakter plat nomor kendaraan selective ratio bounding box,119,1.0
sistem informasi geografis kesesuaian lahan perumahan kota malang metode mce,51,1.0
optimasi parameter support vector regression algoritme genetika prediksi harga emas,9,0.12903658773110324
sistem rekomendasi psikotes penjurusan siswa sma metode modified knearest neighbor,-1,0.0
evaluasi kualitas layanan website pt kereta api indonesia persero kepuasan pengguna webqual importanceperformance analysis ipa,21,1.0
pengembangan permainan edukasi berbasis kinect penderita asperger syndrome menangani empathy disorder,8,0.28435581188992315
klasifikasi berita online pembobotan tfidf cosine similarity,6,0.6298818470410271
sistem pakar identifikasi hama penyakit tanaman sedap malam fuzzy analytical hierarchy process fahp,95,0.930395697296881
pengembangan sistem informasi kim kelompok informasi masyarakat kominfo jatim berbasis web,-1,0.0
pengembangan sistem deteksi gerakan kepala kontrol pergerakan kursi roda berbasis embedded system,32,1.0
optimasi daftar bahan makanan pasien rawat jalan keluarga algoritme genetika,24,1.0
rancang bangun sistem pengkalibrasi nada pengkonversi nada akor instrumen gitar labview,-1,0.0
analisis sentimen query expansion review aplikasi mbanking metode fuzzy knearest neighbor fuzzy knn,-1,0.0
perbandingan evaluasi biaya pengembangan sistem antrian rsud dr soetrasno rembang metode use case point function point studi cv pabrik teknologi,64,1.0
sistem kendali navigasi ardrone quadcopter prinsip natural user interface microsoft kinect,73,0.6039917666858593
otomasi kandang rangka meminimalisir heat stress ayam broiler metode naive bayes,-1,0.0
pembangunan game edukasi ayo belajar ramburambu lintas berbasis kinect studi tk kemala bhayangkari kota malang,-1,0.0
implementasi kura framework purwarupa rumah cerdas,92,0.9762557647405818
optimasi pemupukan pertanian rempah algoritme genetika,19,0.26171725214430464
deteksi objek penghalang realtime berbasis mobile penyandang tunanetra analisis blob,-1,0.0
evaluasi desain antarmuka aplikasi mobile bpjs ketenagakerjaan heuristic evaluation,-1,0.0
evaluasi kualitas layanan website ecommerce salestock indonesia metode webqual importance performance analysis,-1,0.0
sistem pakar diagnosis penyakit kambing metode naive bayes certainty factor,0,1.0
analisis pengaruh kepercayaan resiko konsumen niat berbelanja forum jual beli fjb kaskus technology acceptance model,46,0.35241663216749985
implementasi metode topsis penentuan finalis duta wisata joko roro kabupaten malang studi paguyuban joko roro,-1,0.0
rancang bangun iot cloud platform berbasis protokol komunikasi mqtt,56,1.0
