Judul,Penulis,Tahun
aplikasi penyedia lowongan magang remote berbasis android mahasiswa universitas brawijaya,Nanda Aditya Putra,15 Aug 2024
manajemen metadata pelaporan akademik berdasarkan data management body of knowledge dmbok studi program studi sistem informasi fakultas ilmu komputer,"Muhamad Dafa Hermawan, Nanang Yudi Setiawan, Satrio Agung Wicaksono",15 Aug 2024
naïve bayes knearest neighbor analisis sentimen ulasan aplikasi threads,"Freddy Toranggi Berton, Dian  Eka Ratnawati, Muh. Arif  Rahman",15 Aug 2024
web portal bangunan bersejarah modul view modul d,"Mohammad Anton Rizki Syahputra, Herman Tolle, Tri Afirianto",15 Aug 2024
donatur yayasan jajan pahala algoritma random forest,"Nusa Seldi Wibisono, Satrio Agung  Wicaksono, Nanang Yudi Setiawan",15 Aug 2024
pelaporan kecelakaan kendaraan berbasis esp,Firdaus Veriansyah,15 Aug 2024
kompresi data zlib data compression encoding base sistem paratransit trip data collection berbasis esp,Ilham Sentosa,15 Aug 2024
penerapan prinsip flexibility and efficiency perancangan fitur todo aplikasi website brone ub meningkatkan usability,"Alfian Tri Wahyu Setiadi, Agi Putra Kharisma, S.T., M.T., Dr. Candra Dewi, S.Kom., M.Sc",15 Aug 2024
system informasi akademik sekolah berbasis website studi sekolah tahfidz ibnu masud,"Syabila Nurfitriana Rahmawaty, Pak tri",15 Aug 2024
sentimen pemodelan topik ulasan aplikasi jenius metode support vector machine latent dirichlet allocation,Ersa Asyhar,15 Aug 2024
cause analysis rca berbasis sentimen negatif aplikasi investasi terintegrasi google review studi aplikasi siminvest,Munzir Tamam,15 Aug 2024
pengaruh live streaming shopee influencer minat beli konsumen kalangan mahasiswa,"Adib Permana, Satrio Wijoyo, Andi Perdanakusuma",15 Aug 2024
load balancing mininetwifi,oky dwi nugroho,15 Aug 2024
wearable deteksi postur pelatihan otot biceps triceps berbasis angkat beban algoritma random forest,Muhammad Ghaly Alghifari,15 Aug 2024
antarmuka pengguna situs hyperival store surabaya humancentered design hcd,Muhamad Farhan Ramahda,15 Aug 2024
sistem informasi kompetisi berbasis web studi universitas brawijaya,"Ali Akbar, Adam Hendra Brata, Arief Andy Soebroto",15 Aug 2024
informasi inventory bahan baku penjualan roti terintegrasi payment gateway berbasis website study khasus cv familybakery,"Daffa Raka Mahendra, Djoko Pramono, Welly Purnomo",15 Aug 2024
edukasi pengenalan pengelompokan tumbuhan langka nusantara metode vmodel implementasi android,Naufal Hilmi Junaedi,15 Aug 2024
deteksi postur duduk sensor ultrasonik flex sensor berbasis arduino uno,sindi indayana,15 Aug 2024
tipe kematangan pisang metode ensemble convolutional neural network cnn,Pramesti Dyah Wardani,15 Aug 2024
sentimen program merdeka belajar kampus merdeka sosial media twitter kmeans clustering support vector machine svm syntethic minority oversampling technique smote,"Muhammad Adam Pryono, Satrio Hadi Wijoyo, Fitra Abdurrachman Bachtiar",15 Aug 2024
eksplorasi persepsi early adopter white paper digital rupiah teori diffusion of innovation,"Aurellyo Maynanda, Widhy Hayuhardika Nugraha Putra, Andi Reza Perdanakusuma",15 Aug 2024
user experience penyewaan studio shooting berbasis website metode design thinking studi pt produksi film negara,"Hana Syifa Hanifah, Herman Tolle,  Intan Sartika Eris Maghfiroh",15 Aug 2024
kualitas layanan website brawijaya online learning brone metode webqual importanceperformance analysis,"Muhammad Hanif Ardhiansyah, Dian Eka Ratnawati, Retno Indah Rokhmawati",15 Aug 2024
estimasi tarikan gerakan gerakan mengenggam objek prostetik tangan bionik regresi linier,"Abim Renara Palwa Luktagara, Bu Edita",10 Sep 2024
raspberry pi pulse width modulation sistem penghantar daya nirkabel,"Duta Pribadi, Akbar",10 Sep 2024
proses request fulfillment problem management sistem informasi psik fakultas ilmu komputer universitas brawijaya framework itil,"M. Adlant Nazhari Yahyasamdie, Suprapto, Aditya Rachmadi",10 Sep 2024
faktor pushpullmooring beralih penggunaan centralized exchange cex cryptocurrency indonesia cex internasional,"Kevin Setyadi, Satrio Agung Wicaksono, Andi Reza Perdanakusuma",10 Sep 2024
pendeteksi depresi pola suara metode formant analysis,"albar fawwazi ghaliba elfauzan, Barlian Henryranu",10 Sep 2024
user experience aplikasi pengingat kedaluwarsa makanan berbasis android,"Herza Avicena, Herman Tolle",10 Sep 2024
algoritma knearest neighbor klasifikasi kemampuan lulusan siswa bersaing pekerjaan studi smk sore tulungagung,"Rahman Kukuh Imani, Satrio Hadi Wijoyo, Faizatul Amalia",10 Sep 2024
desain pengalaman pengguna aplikasi orino care berbasis mobile pendekatan design thinking,"Harits Jundulloh, Herman Tolle, Buce Trias Hanggara",10 Sep 2024
pembuatan sistem informasi manajemen reservasi game corner fakultas ilmu komputer universitas brawijaya berbasis website,Bagas Raditya Nafi,10 Sep 2024
pengalaman pengguna aplikasi primaku wilayah semi urban pendekatan design thinking,Nadila Zahro Aisyah,10 Sep 2024
aplikasi pelaporan tindak kekerasan seksual lingkungan universitas brawijaya berbasis website,"Putra Adhli Falah, Agi Putra Kharisma, Edy Santoso",10 Sep 2024
traffic manet berdasarkan tingkat energi node,Fanniza Aisya,10 Sep 2024
sistem rekomendasi gizi berdasarkan profil aktivitas olahraga pengguna aplikasi cause,Muhammad Nizar Labib,10 Sep 2024
aplikasi manajemen transaksi annisa salon muslimah berbasis mobile metode rapid application development rad,"Muhammad Davin Fadillah, Herman Tolle, Buce Trias Hanggara",10 Sep 2024
empiris penerapan heuristic principles of design aplikasi bimo filkom ub metode eksperimen,"Muhammad Zaki, Agi Putra , Lutfi Fanani",10 Sep 2024
sistem informasi gadai korma,Marisa Sirait,10 Sep 2024
sentimen masyarakat kereta cepat whoosh platform x indobert,"Gibran Hakim, Tirana Noor Fatyanosa, Agus Wahyu Widodo",10 Sep 2024
perbandingan performansi tool testing appium katalon pengujian otomatisasi perangkat lunak aplikasi berbasi mobile,"Refano Trinanda Saputra, Hariz Farisi, S.Kom., M.T., Mochamad Chandra Saputra, S.Kom., M.Eng., M.T., Ph.D",10 Sep 2024
kesuksesan implementasi rekam medis elektronik rme klinik pratama model human organisation technologyfit,"Aurellia Ristivani Aisha Fitri, Suprapto, Ismiarta Aknuranda",10 Sep 2024
user experience aplikasi edukasi penanganan anxiety disorder mahasiswa filkom metode human centered design hcd,Dian Ayu Rahmawati,10 Sep 2024
sistem informasi ekatalog berdasarkan evaluasi usability studi unit kerja pengadaan barangjasa kota padang,"Isyraqy Naposo Nasution, Hanifah Muslimah Az-Zahra, Almira Syawli",10 Sep 2024
wearable vest pendeteksi jatuh lansia berbasis esp sensor mpu algoritma support vector machine,"Andi Muhammad Alif Alfajra, Dahnial  Syauqy, Gembong Edhi Setyawan",10 Sep 2024
aplikasi mobile ikatan keluarga alumni react native metode rapid application development studi alumni sman jombang periode,"M NABIL MONTESWI, Tibyani, S.T., M.T, Djoko Pramono, S.T., M.Kom.",10 Sep 2024
pengaruh ekstraksi fitur suara bernoise kinerja model deep learning kendali smart wheelchair,"Eldad Vikorian, Fitri  Utaminingrum",10 Sep 2024
sistem informasi atlet koni kota malang berbasis website framework laravel,Khoirul Mubarok,10 Sep 2024
kualitas website ecommerce kepuasan pengguna metode webqual importanceperformance analysis studi lullaby luxury llc,Anindya Shafa,10 Sep 2024
media pembelajaran video animasi dimensi mata kuliah evaluasi pengalaman antarmuka pengguna fakultas ilmu komputer universitas brawijaya model pengembangan addie,"Ilham Ramadhan, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",10 Sep 2024
pengalaman pengguna aplikasi pemesanan makanan tradisional padang metode design thinking studi umkm sindifood jakarta,"Poppy Marcelia Aziza, Agi Putra  Kharisma, Mahardeka Tri Ananta",10 Sep 2024
game edukasi si kancil berbasis android metode pengembangan sistem mdlc multimedia development life cycle,Hamzah prawira,10 Sep 2024
metode indobert cnn analisis sentimen berbasis aspek ulasan pelanggan studi hotel indonesia kempinski jakarta website travel agent tiketcom,"Ferdiansyah Putra Pratama, Indriati, Achmad Ridok",10 Sep 2024
deteksi durasi penyimpanan susu sapi segar berdasarkan tingkat keasaman perubahan warna metode knearest neighbors knn berbasis arduino,"RIZKY BHRAMANTYA , Dahnial Syauqy , Eko Setiawan",10 Sep 2024
bangun sistem informasi akademik berbasis web madrasah tsanawiyah riyadlatul fallah,"Mohammad Yudha Pamungkas, Pak Adit, Pak Herlambang",10 Sep 2024
perbandingan pengalaman pengguna aplikasi investasi bibit ajaib metode user experience questionnaire ueq,"Raka Belva Raihansha, Satrio  Hadi Wijoyo, Widhy Hayuhardhika Nugraha Putra",10 Sep 2024
usability perbaikan user experience aplikasi mpaspor pendekatan d framework,"Avidhyana Sukma Valenta, Agi Putra Kharisma, Herman Tolle",03 Jan 2025
klasifikasi kondisi laboratorium medis berdasarkan suhu kelembapan algoritma jaringan syaraf tiruan jst,"Alisya Nabila Eka Putri, Dahnial Syauqy, Nur Hazbiy Shaffan",03 Jan 2025
aplikasi sistem informasi layanan tabungan nasabah berbasis web studi bank sampah rw kelurahan jatisari kota bekasi,"Muhammad Imam Hidayat, Mahardeka Tri Ananta, Fais Al Huda",03 Jan 2025
rekomendasi model sandal home industri collaborative filtering algoritma matrix factorization,"Fitra Bagus Arviyanto, Arief Andy Soebroto",03 Jan 2025
variasi kapasitor faktor kualitas daya sistem penghantar daya nirkabel,"Dhaiful Hadi  Fauzan, Sabriansyah Rizqika Akbar",03 Jan 2025
bola robot humanoid sepak bola haar cascade hsv,"Charrisma Dwi Mahardika Trisna Purnama, Gembong Edhi Setyawan",03 Jan 2025
wavelet transform sinyal ultrasound analisis kesehatan bibit tanaman sawit,"Muhammad Alif Nur Abiyyu, Barlian Henryranu Prasetio",03 Jan 2025
pengaturan agroklimat berbasis iot budidaya vanili metode fuzzy,"Muhammad Fakhran Zainul Muttaqin, Rakhmadhany Primananda, Gembong Edhi Setyawan",03 Jan 2025
sistem pengatur pergerakan robot manipulator pemindah barang gudang logistik metode inverse kinematic,"Surya Dharma, Eko Setiawan",03 Jan 2025
kinerja web service berbasis rest graphql pengiriman data electrocardiogram ecg,"Archangela Muhammad Alvaro, Eko Sakti Pramukantoro, Kasyful Amron",03 Jan 2025
metode pantompkins treadmill stress test deteksi gangguan irama jantung shimmer electrocardiogram,"Muhammad Imam Hanafi, Edita Rosana Widasari",03 Jan 2025
sistem penghitungan penumpang otomatis kondisi wajah penumpang dikaburkan algoritma yolov bytetrack,"Hanif Ulunnuha Hidayat, Rizal Setya  Perdana , Ari  Kusyanti",03 Jan 2025
augmented reality marker based tracking informasi gedung fakultas ilmu komputer berbasis android,"Mohammad Irsyad Sati, Herman Tolle, Fais Al Huda",03 Jan 2025
arduino uno r pulse width modulation sistem penghantar daya nirkabel,"Felix Samosir, Sabriansyah Rizqika Akbar",03 Jan 2025
algoritma ant colony optimization pencarian jalur optimal multipath routing software define network,"fadhlan fasya, Rakhmadhany Primananda, Nur Hazbiy Shaffan",03 Jan 2025
sentimen berita pemblokiran tiktok shop kolom komentar youtube longshort term memory,"Farras Husain Hibatullah, Indriati, Putra Pandu Adikara",03 Jan 2025
aplikasi pemantauan tindak hasil pengawasan studi inspektorat daerah kabupaten lombok timur,"Hadi Ikhwanul Fuadi, Adam Hendra  Brata, Bayu Priyambadha",03 Jan 2025
pengembangan aplikasi berbasis gamification meningkatkan partisipasi masyarakat pengelolaan sampah,"Alif Alamsyah Yudhanto, Dany Primanita Kartikasari, Reza Andria Siregar",03 Jan 2025
implementasi skalabilitas sistem inferensi data elektrokardiogram berbasis cloud,"Daffa Putra Narendra, Eko Sakti  Pramukantoro, Kasyful Amron",03 Jan 2025
sistem pengelolaan katering berbasis web studi pt inggit seafood catering,"Nur Muhammad Lak Shoni, Mahardeka Tri Ananta, Adam Hendra Brata",03 Jan 2025
perangkat pengendali game snowboard snow sensor imu metode random forest,"Muhammad Rifqi Megananda, Dahnial  Syauqy, Gembong Edhi  Setyawan",03 Jan 2025
aplikasi mobile klasifikasi ekspresi wajah manusia platform android arsitektur mobilenet,"Irfan Ardiansyah, Fais Al Huda, Novanto Yudistira",03 Jan 2025
sistem deteksi stress berbasis machine learning berdasarkan sinyal photoplethysmogram polar verity sense,"Dwi Ady Firmanda, Eko Sakti Pramukantoro, Barlian Henryranu Prasetio",03 Jan 2025
gestur tangan metode support vector machine svm lengan prostetik bionik,"Khoirun Niswa, Edita Rosana Widasari",03 Jan 2025
algoritma ant colony optimization rekomendasi rute terpendek usaha thriting kota malang,"Muhammad Ihsan Saiful Kirom, Arief Andy Soebroto",03 Jan 2025
performa arduino uno algoritma enkripsi aes implementasi sistem rfid,"Nandito Samosir, Barlian Prasetio",03 Jan 2025
variasi ekstraksi fitur klasifikasi noise reduction pengenalan navigasi suara smart wheelchair,"Naufal Sidqi Haekal, Fitri  Utamaningrum",03 Jan 2025
fuzzy mamdani mengoptimalkan gerakan jari lengan prostetik bionik,"Fatih Raka Ksatria, Edita Rosana Widasari",03 Jan 2025
deteksi keretakan gedung quadcopter berbasis yolov,"Kessario Muhammad Fadhaly, Eko Setiawan",03 Jan 2025
antarmuka sistem informasi investasi pemasaran domba digital masyarakat metode human centered design hcd desa bumirejo kecamatan dampit kabupaten malang,"Aldi Rahman Wijaya, Arief Andy  Soebroto",03 Jan 2025
aplikasi janur booking vendor pernikahan teknologi derajat foto berbasis mobile,"enita dhea, Fais, Adam",03 Jan 2025
genre playlist musik berdasarkan ritme tempo deteksi onset spectral contrast,"Fernando Septino, Barlian Henryranu Prasetio",03 Jan 2025
prinsip aestheticusability effect mengukur tingkat usability aplikasi mbanking bca mobile usability testing,"Elok Nuraida Kusuma Dewi, Agi Putra Kharisma, Muhammad Arif Rahman",03 Jan 2025
analisis planar koil sirkular sistem wireless power transfer,"Carel Martin, Sabriansyah Rizqika Akbar",03 Jan 2025
sentimen makanan manis platform x tfidf naive bayes,"Nurul Annisa Murnastiti, Tirana Noor Fatyanosa, Marji",03 Jan 2025
model artificial neural network klasifikasi posisi jatuh robot humanoid sensor imu,"Eldon Parasian Simanjuntak, Gembong",03 Jan 2025
wearable deteksi postur training lateral raise sensor mpu algoritma random forest,"Mohd Alfitra Syauqi, Dahnial Syauqy, Wijaya Kurniawan",03 Jan 2025
lokalisasi robot humanoid sepak bola metode visualinertial odometry vio,"alvin ferdiansyah, Gembong Edhi Setyawan",03 Jan 2025
sistem autentikasi aplikasi berbasis website data photoplethysmography ppg,"Ilham Andriansah, Eko Sakti Pramukantoro, Kasyful  Amron",03 Jan 2025
air layak konsumsi berdasarkan ph kekeruhan konsentrasi zat terlarut berbasis arduino random forest,"vandy yolanda, Eko Setiawan",03 Jan 2025
sarung tangan gaming boxing thunder ray sensor gerak mpu metode random forest pendeteksi gerakan tinju,"Vina Trisnawati Rahayu, Syauqy , Sabrian",03 Jan 2025
model tabular retrieval model tabr kmeans clustering efisiensi klasifikasi regresi data tabular,"Hanif Darmawan, Novanto Yudistira, Marji",03 Jan 2025
metode kalman filter model yolovn fitur humanfollowing kursi roda pintar,"Fachrie Rizky Yuztiawan,  Fitri Utaminingrum",03 Jan 2025
ekstrasi mfcc hidden markov model identifikasi emosi manusia berdasarkan suara detak jantung,"Ega Rasendriya Nashrullah, Barlian Henryranu Prasetio",03 Jan 2025
penerapan framework desain user interface usia pln mobile meningkatkan usability pengguna pralanjut usia,"Hanna Shafira Anggraheni, Agi Putra Kharisma, Putra Pandu Adikara",03 Jan 2025
perbandingan filter eksponensial butterworth iir gaussian smoothing lengan prostetik bionik berbasis wearable electromyography armband sensor,"Hilmisyah Nabil, Edita Rosana Widasari",03 Jan 2025
aplikasi perpustakaan berbasis website sdn bandungrejosari malang,"Ahmad Madda Iknajah, Adam Hendra Brata, Mahardeka Tri Ananta",03 Jan 2025
perbandingan fitur waveform length mean absolute value root mean square lengan prostetik bionik,"syauqi, Edita Rosana Widasari",03 Jan 2025
perhitungan center of mass zero moment point support polygon pergerakan robot humanoid,"Syarifah Alexandria, Gembong Edhi Setyawan",03 Jan 2025
sentimen program indonesian international student mobility award iisma platform x twitter tfidf svm,"Diagne Alya Fidian, Tirana Noor  Fatyanosa, Achmad Ridok",03 Jan 2025
business intelligence dashboard monitoring key performance indicator perusahaan wwmusik malang,"Alvianta Dwi Putra, Nanang Yudi Setiawan, Satrio Agung Wicaksono",09 Jan 2025
sentimen produk hijab ecommerce tokopedia algoritma support vector machine indobert embedding,"Ghina Tri Fadilah, Lailil Muflikhah, Rizal Setya Perdana",09 Jan 2025
penerimaan layanan aplikasi lolosasn berdasarkan teori technology acceptance model,"Deswita Marsya Nadia, Admaja Dwi Herlambang, Buce Trias Hanggara",09 Jan 2025
kelayakan konsumsi susu kedelai berdasarkan ph warna aroma metode random forest berbasis arduino,"Matius Herenda Madi, Dahnial Syauqy, Wijaya Kurniawan",09 Jan 2025
convolutional neural network lengan prostetik bionik berbasis wearable electromyography armband sensor,"Muhammad Ananta Daniswara, Edita Rosana Widasari",09 Jan 2025
sistem inferensi klasifikasi detak jantung berbasis stream processing jetson nano,"Muhammad Rifqi Ar - Raffly, Eko Sakti Pramukantoro, Kasyful Amron",09 Jan 2025
algoritma kmeans clustering segmentasi pelanggan berdasarkan model rfm resik aquatics,"Muhammad Devan Ryandra, Nanang Yudi Setiawan, Niken Hendrakusma Wardani",09 Jan 2025
arah pergerakan kepala navigasi kursi roda pintar kombinasi metode berbasis yolovn,"Aulia Riza Mufita, Fitri Utaminingrum",09 Jan 2025
pengembangan aplikasi ceria mobile berbasis humancentered design studi pt ceria nugraha indotama,"Yudhana Eka Nugraha, Eko Sakti Pramukantoro, Bayu  Priyambadha",09 Jan 2025
wearable training aerodinamis pesepeda posisi drop bar metode random forest berbasis data mpu,"Fadila Muqtadaro Merry Hassani, Dahnial  Syauqy, Wijaya  Kurniawan",09 Jan 2025
sistem smart home berbasis pengenalan suara model long shortterm memory,"Khairian Fadhilah, Barlian Henryranu Prasetio",09 Jan 2025
klasifikasi spam email metode extreme gradient boosting xgboost,"Lintang Gladyza Adinda Putri, Satrio A.  Wicaksono, Bayu Rahayudi",09 Jan 2025
performa arduino uno penggunaan algoritma enkripsi speck implementasi sistem rfid,"Jeremya Tampubolon, Barlian Henryranu Prasetio",09 Jan 2025
sentimen berbasis aspek ulasan pengguna aplikasi alfagift metode random forest pemodelan topik latent dirichlet allocation,"Raihan Zahran Firdaus, Satrio Hadi Wijoyo, Welly Purnomo",09 Jan 2025
koefisien kopling jarak pengembangan sistem penghantar daya nirkabel,"Gavin Argyatama Awandana, Sabriansyah Rizqika Akbar",09 Jan 2025
penerapan model pembelajaran teams games tournament hasil belajar peserta didik mata pelajaran informatika smk pancasila ambulu,"Ashila Gisara Dwinanda, Satrio Hadi  Wijoyo, Khalid  Rahman",09 Jan 2025
dashboard business intelligence integrasi metode kimball lifecycle design thinking memantau performa karyawan pt jalin mayantara indonesia,"Shellen Widya Azzahra, Nanang Yudi Setiawan, Welly Purnomo",09 Jan 2025
pengaruh penggunaan strategi semantic search engine optimization seo keyword mapping visibilitas website merteyasabaliadventurecom search engine,"Idham Ahmad  Nashir, Buce Trias Hanggara, Muhammad Aminul Akbar",09 Jan 2025
sistem deteksi anomali jaringan komputer pendekatan xgboost data snmp,"Amadeo Muhammad Augie Rudianto, Eko Sakti Pramukantoro, Diva Kurnianingtyas",09 Jan 2025
evaluasi proses bisnis manajemen sumber daya manusia meningkatkan kinerja operasional pt telkom indonesia,"Dandy Budhi Prasetyo, Riswan Septriayadi Sianturi",09 Jan 2025
perbandingan sentimen pengguna x reddit starlink indonesia uji hipotesis statistik twoproportion ztest,"Eci Emriyeni, Djoko Pramono, Welly Purnomo",09 Jan 2025
kombinasi eksponensial notch filter mengurangi noise sistem pengenalan pergerakan lengan prostetik bionik,"Muhammad Afif Robbani, Edita Rosana Widasari",09 Jan 2025
nefropati diabetik pasien diabetes melitus regresi logistik,"Muhammad Fihan Ashidiq, Lailil Muflikhah, Budi Darma Setiawan",09 Jan 2025
kelayakan konsumsi susu kambing etawa pasteurisasi berdasarkan warna aroma ph metode random forest berbasis arduino,"Muhammad Fahmi Gymnastiar Gozali, Dahnial Syauqy, Wijaya Kurniawan",09 Jan 2025
kendali pengikut terarah smart wheelchair pencahayaan beragam gamma correction yolovn termodifikasi,"Anindya Zulva Larasati, Fitri Utaminingrum",09 Jan 2025
bencana banjir berdasarkan data curah hujan daerah jakarta logistic regression neural network,"Bhisma Adiyasa, Candra Dewi, Putra Pandu Adikara",09 Jan 2025
usability aplikasi persada sistem monitoring pajak daerah kota malang,"Aulia Septy Anggraini, Hanifah Muslimah  Az-Zahra, Admaja Dwi Herlambang",09 Jan 2025
perbandingan lazy loading native intersectionobserver javascript pengelolaan konten gambar pengembangan website,"Fauzan Athallah Setyowidodo, Aryo  Pinandito, Muhammad Aminul  Akbar",09 Jan 2025
performa arduino uno embedded system berbasis rfid algoritma enkripsi skinny,"Muhammad Ghifari,  Barlian Henryranu Prasetio",09 Jan 2025
kesuksesan layanan website eduakksa berdasarkan teori delone and mclean model,"Putri Daliana Salsabilla Rais, Admaja Dwi Herlambang, Buce Trias Hanggara",09 Jan 2025
quality in use swot produk skincare lokal global berdasarkan sentimen pengguna,"Salma Fauziah Azzahra, Nanang  Yudi Setiawan, Welly  Purnomo",09 Jan 2025
keterampilan mengelola kelas kompetensi pedagogik mahasiswa plp program studi pendidikan teknologi informasi universitas brawijaya motivasi belajar siswa smk negeri malang,"Mohammad Hafidz Hibadurrahman, Wibisono Sukmo  Wardhono, Uun Hariyanti",09 Jan 2025
kelayakan konsumsi air kelapa berdasarkan ph kekeruhan metode random forest berbasis arduino,"Sylvia Sari, Dahnial  Syauqy, Wijaya  Kurniawan",09 Jan 2025
iot gateway terdistribusi berbasis kubernetes,"Muhammad Kholif Alami, Widhi Yahya, Achmad Basuki",09 Jan 2025
sentimen ulasan konsumen martabak kubang hayuda support vector machine,"Muhammad Fikri Almas, Nanang Yudi Setiawan, Satrio Hadi Wijoyo",09 Jan 2025
pengalaman pengguna elearning pendamping pelatihan cybersecurity,"Eurico Krisna Wijaya, Lutfi  Fanani, Bayu  Priyambadha",09 Jan 2025
modul ghost simam sistem guide following kursi roda pintar berbasis yolovn,"Asma Kamilah Nur Jawahir, Fitri Utaminingrum",09 Jan 2025
pengaruh diskon harga ulasan produk persepsi kualitas minat beli pengguna flashsale tiktokshop,"Anggrea Putri Rachmadhani, Aryo Pinandito, Welly Purnomo",09 Jan 2025
akar permasalahan kepuasan tamu hotel savana berdasarkan sentimen negatif,"Alexander Christo Setiawan, Dian Eka Ratnawati, Welly Purnomo",09 Jan 2025
penggunaan wordwall meningkatkan hasil belajar siswa smk negeri malang mata pelajaran informatika,"Eiko Farah Diva Julen, Satrio Hadi Wijoyo, Khalid Rahman",09 Jan 2025
user experience aplikasi joox mobile metode diary study,"intan melathi, Hanifah Muslimah Az-Zahra, Alfi Nur Rusydi",09 Jan 2025
pergerakan kepala kombinasi yolovn ghostnet navigasi kursi roda pintar,"Athirah Naura Rahmawati, Fitri Utaminingrum",09 Jan 2025
pengaruh marketplace berbasis mobile penumpukan pakaian bekas layak pakai studi carousell,"Askenas Salinding, Welly  Purnomo, Aryo Pinandito",09 Jan 2025
perbandingan performa framework web server nest js hapi js berbasis rest api,"Mukhammad Afan Oktafianto, Buce Trias Hanggara, Muhammad Aminul Akbar",09 Jan 2025
model machine learning prediksi bencana tanah longsor spasial kabupaten malang,"Choiruddin Yusuf Setyawardhana, Welly Purnomo, Alfi Nur Rusydi",09 Jan 2025
machine learning extreme gradient boosting klasifikasi potensi tsunami berdasarkan data gempa bumi,"I Gede Jayadi Kurniawan, Candra Dewi, Muh Arif Rahman",09 Jan 2025
implementasi problembased learning berbantuan sumber belajar digital mata pelajaran instalasi perangkat jaringan,"Yanuarin Salwa Afranita, Admaja Dwi Herlambang, Uun Hariyanti",09 Jan 2025
geospasial perubahan penggunaan lahan sawah kota malang google earth engine,"Renaldy Hermawan, Alfi Nur Rusydi, Muhammad Aminul Akbar",09 Jan 2025
ekstraksi bfcc hidden markov model identifikasi emosi manusia berdasarkan suara detak jantung,"Ni Made Ayu Astina Sari, Barlian Henryranu Prasetio",09 Jan 2025
teknik embedding model nvembed large language models berbasis retrieval augmented generation,"Tengku Muhammad Rafi Rahardiansyah, Rizal Setya Perdana, Tirana Noor Fatyanosa",09 Jan 2025
perbedaan kemampuan menulis argumentatif berpikir kritis mahasiswa pendidikan teknologi informasi implementasi teknologi berbasis ai,"Luvena Cornelia, Uun Hariyanti , aswin Suharsono",10 Jan 2025
implementasi model problembased learning berbantuan github chatgpt hasil belajar kemampuan abstraksi,"Ajeng Ayu Kusuma Wardani, Admaja Dwi Herlambang, Aditya Rachmadi",10 Jan 2025
tracking pemandu kondisi pencahayaan beragam smart wheelchair metode clahe yolovn,"Farid Nafis Tsani, Fitri Utaminingrum",10 Jan 2025
tingkat obesitas berdasarkan pola hidup kebiasaan konsumsi makanan meotde knearest neighbor,"Satferisnan Qoris Firman Yasin,  Agus Wahyu Widodo, Indriati",10 Jan 2025
klasifikasi serangan website berbasis wordpress machine learning,"Adhiyaksa Ramadhana Purwidyantoro, Eko Sakti Pramukantoro",10 Jan 2025
penggunaan densenet yolov pengembangan sistem klasifikasi sampah raspberry pi kamera penglihatan malam,"Arya Pradipto, Rekyan  Regasari Mardi Putri, Agung Setia Budi",10 Jan 2025
sentimen pengguna sosial media twitterx acara clash of champions metode multinomial naïve bayes,"Salsabila Azzahra' Zulfa Kusuma, Dian Eka Ratnawati, Nanang Yudi Setiawan",10 Jan 2025
faktorfaktor memengaruhi kepuasan pengguna aplikasi gramedia digital,"Odilia Ning Intan Restu Hapsari, Hanifah Muslimah Az-zahra, Ismiarta Aknuranda",10 Jan 2025
implementasi model problembased learning berbantuan github chatgpt hasil belajar kreativitas pemrograman,"Faishal Fariz Hidayatullah, Admaja Dwi Herlambang, Tri Afirianto",10 Jan 2025
sistem informasi shoescare management berbasis website studi hector vhn,"Laksono Prasetyo, Hariz Farisi, Buce Trias Hanggara",10 Jan 2025
penerimaan pengguna website brawijaya knowledge garden bkg technology acceptance model tam information systems success model issm,"Aditya Nugraha Tarihoran, Aditya Rachmadi, Satrio Hadi Wijoyo",10 Jan 2025
platform visual studio code hasil belajar siswa mata pelajaran pemrograman dasar kelas x jurusan teknik komputer jaringan smkn malang,"Dyah Yuliana Abidah, Satrio Hadi Wijoyo, Khalid Rahman",10 Jan 2025
kualitas website evira kepuasan pengguna metode webqual,"Bunga Sauma Faturani, Satrio Hadi Wijoyo, Aditya Rachmadi",10 Jan 2025
informasi sensitif sistem chatbot berbasis retrieval augmented generation metode named entity recognition,"Kesid Dewa Wicaksana, Rizal Setya Perdana, Tirana Noor Fatyanosa",10 Jan 2025
konsumsi energi listrik sistem pencahayaan ruang kelas pengembangan sistem kontrol lampu ruang kelas berbasis internet of things aplikasi web,"Muhammad Raihan Parama Latief, Hariz Farisi, Zainul Abidin",10 Jan 2025
pelacakan pemandu kursi roda pintar efficient convolution operator weightedthresholded histogram equalization,"Aldiansyah Satrio Kabisat, Fitri Utaminingrum, Eko Sakti Pramukantoro",10 Jan 2025
speech recognition berbasis raspberry pi ekosistem smarthome algoritma gated recurrent unit gru,"Khrisna Shane Budy Prakoso, Barlian Henryranu Prasetio",10 Jan 2025
penurunan popularitas video game free fire analisis perspektif pemain game,"Arif Bagus Setiawan, Ismiarta Aknuranda, Andi Reza Perdanakusuma",10 Jan 2025
kinerja autentikasi berbasis behavioral biometrics algoritma decision tree differential privacy,"Ruri Desfianti, M. Ali Fauzi, Mahendra Data",10 Jan 2025
pengaruh program edukatif clash of champions motivasi belajar siswa smkn kota malang,"Latisya Zalfa Naila, Uun Hariyanti , Khalid Rahman",10 Jan 2025
