Judul,Penulis,Tahun
genetik optimasi pembentukan fungsi regresi linier menentukan kebutuhan volume air penyiraman tanah,"Hendra Pratama Budianto, Budi Darma Setiawan, Putra Pandu Adikara",30 Sep 2017
komposisi makanan penderita hipertensi variable neighborhood search,"Aprilia Nur Fauziyah, Wayan Firdaus Mahmudy",30 Sep 2017
kebutuhan metode pemodelan berbasis linguistik ontologi sistem penilaian prestasi kerja pegawai dinas kominfo kota malang,"Nurwida Mariatul Sadila, Fajar Pradana, Bayu Priyambadha",30 Sep 2017
penjadwalan damping mahasiswa difabel algoritma genetika studi psld universitas brawijaya,"Mukh. Mart Hans Luber, Imam Cholissodin, Candra Dewi",30 Sep 2017
hubungan kesadaran keamanan privasi informasi perilaku keamanan pengguna media sosial line,"Irfan Arif Afandi, Ari Kusyanti, Niken Hendrakusma Wardani",30 Sep 2017
performa mekanisme error recovery automatic repeat request arq forward error correction fec multi receiver file transfer,"Kusnul Aeni, Mahendra Data, Adhitya Bhawiyuga",30 Sep 2017
implementasi algoritma sha sha sistem autentikasi garuda training cost,"Firlhi Kurniawan, Ari Kusyanti, Heru Nurwarsito",30 Sep 2017
perbandingan metode kmeans improved semisupervised kmeans data indeks pembangunan manusia ipm,"Gusti Ngurah Wisnu Paramartha, Dian Eka Ratnawati, Agus Wahyu Widodo",30 Sep 2017
diagnosis gangguan autisme anak metode modified knearest neighbor mknn,"Jojor Jennifer BR Sianipar, Muhammad Tanzil Furqon, Putra Pandu Adikara",30 Sep 2017
penerimaan pengguna aplikasi mobile uc browser model unified theory of acceptance and use of technology utaut task technology fit ttf,"Atiyyah Lia Hijriyati, Niken Hendrakusma Wardani, Mochamad Chandra Saputra",30 Sep 2017
multiple travelling salesman problem pendistribusian air minum algoritme particle swarm optimization studi ud tosa malang,"Rinindya Nurtiara Puteri, Agus Wahyu Widodo, Imam Cholissodin",30 Sep 2017
multiple travelling salesman problem pendistribusian air minum algoritme genetika studi ud tosa malang,"Sayyidah Karimah, Agus Wahyu Widodo, Imam Cholissodin",30 Sep 2017
ciri geometric invariant moment pengenalan tanda tangan,"Rahma Juwita Sany, Agus Wahyu Widodo, Candra Dewi",30 Sep 2017
jaringan sensor nirkabel metode pengiriman pembagian slot sistem deteksi parkir sepeda motor,"Zonnete Bryllian Dheo, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",30 Sep 2017
metode fuzzy subtractive clustering pengelompokan data potensi kebakaran hutanlahan,"Vianti Mala Anggraeni Kusuma, Muhammad Tanzil Furqon, Lailil Muflikhah",30 Sep 2017
kualitas layanan website dinas pendidikan kota malang metode webqual ipa,"Amirah Al Baiti, Suprapto Suprapto, Aditya Rachmadi",30 Sep 2017
sistem pakar diagnosis penyakit sistem endokrin manusia metode dempstershafer,"Didin Wahyu Utomo, Suprapto Suprapto, Nurul Hidayat",30 Sep 2017
load balancing web server metode berbasis sumber daya cpu software defined networking,"Riski Julianto, Widhi Yahya, Sabriansyah Rizqika Akbar",30 Sep 2017
sistem tracking kereta api protokol publish subscribe,"Sapta Oryza Putra, Adhitya Bhawiyuga, Mochammad Hannats Hanafi Ichsan",30 Sep 2017
fuzzy knearest neighbor fknn menentukan status gizi balita,"Satria Dwi Nugraha, Rekyan Regasari Mardi Putri, Randy Cahya Wihandika",30 Sep 2017
klasifikasi status gizi bayi metode knearest neighbor berbasis sistem embedded,"Nanda Epriliana Asmara Putri, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",30 Sep 2017
sistem pervasive smart home berbasis bluetooth versi modul ble hm sensor,"I Wayan Boby Astagina Naghi, Sabriansyah Rizqika Akbar, Barlian Henryranu Prasetio",30 Sep 2017
teknologi websocket pengembangan sistem berbagi lokasi berbasis web,"Avreghly Barra Al-Ilman, Tri Astoto Kurniawan",30 Sep 2017
kinerja protokol routing ospf eigrp aplikasi voip topologi jaringan mesh,"Lyna Dwi Maryati, Rakhmadhany Primananda, Mochammad Hannats Hanafi Ichsan",30 Sep 2017
protokol sinkronisasi reference broadcast synchronization rbs pengiriman data flooding wireless sensor node,"Zhafran Wadiansyah, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",30 Sep 2017
sistem pengelolaan bank ujian pilihan ganda online,"Silvia Ajrini, Tri Astoto Kurniawan, Denny Sagita Rusdianto",30 Sep 2017
pembagian tugas dosen pengampu mata kuliah metode particle swarm optimization,"Muhammad Abduh, Rekyan Regasari Mardi Putri, Lailil Muflikhah",31 Oct 2017
teks bahasa indonesia dokumen pengaduan sambat online metode knearest neighbors knn chisquare,"Claudio Fresta Suharno, Mochammad Ali Fauzi, Rizal Setya Perdana",31 Oct 2017
dpe framework perancangan serious game pengidap kebutaan nada,"M. Rizkiyan Zaka Riawan, Wibisono Sukmo Wardhono, Tri Afirianto",31 Oct 2017
citra tanda tangan offline pemanfaatan ciri centroid distance function,"Rizka Husnun Zakiyyah, Agus Wahyu Widodo, Fitri Utaminingrum",31 Oct 2017
otomatis quadcopter ar drone metode linear quadratic regulator lqr,"Amroy Casro Lumban Gaol, Gembong Edhi Setyawan, Wijaya Kurniawan",31 Oct 2017
nilai belief dempstershafer particle swarm optimization pso penentuan pasal penganiayaan,"Merry Gricelya Nababan, Rekyan Regasari Mardi Putri, Indriati Indriati",31 Oct 2017
fitur particle swarm optimization pengenalan pola wajah naive bayes studi mahasiswa universitas brawijaya fakultas ilmu komputer gedung a,"Satria Habiburrahman Fathul Hakim, Imam Cholissodin, Agus Wahyu Widodo",31 Oct 2017
pendukung keputusan pemilihan penanaman varietas unggul padi metode ahp topsis,"Muhamad Rendra Husein Roisdiansyah, Agus Wahyu Widodo, Nurul Hidayat",31 Oct 2017
penjadwalan mata pelajaran algoritme genetika studi smk negeri kediri,"Muhammad Fuad Efendi, Imam Cholissodin, Edy Santoso",31 Oct 2017
perbedaan pemahaman experienced nonexperienced smartphone user application permission,"Fairuz Risky Yusniasari, Ari Kusyanti, Aryo Pinandito",31 Oct 2017
sentimen ulasan aplikasi mobile naive bayes normalisasi berbasis levenshtein distance studi aplikasi bca mobile,"Ferly Gunawan, Mochammad Ali Fauzi, Putra Pandu Adikara",31 Oct 2017
permainan berbasis augmented reality perangkat bergerak media meningkatkan kepedulian hewan langka,"Fransnesa Fransnesa, Wibisono Sukmo Wardhono, Tri Afirianto",31 Oct 2017
faktorfaktor memengaruhi niat pengguna internet fungsi single sign on google metode sem structural equation modeling,"Lina Andreina, Ari Kusyanti, Retno Indah Rokhmawati",31 Oct 2017
biaya pemenuhan asupan gizi makanan anakanak metode simpleks fase,"Pratomo Adinegoro, Rekyan Regasari Mardi Putri, Dian Eka Ratnawati",31 Oct 2017
faktorfaktor memengaruhi sikap pengguna twitter pemberian informasi pribadi metode structural equation modeling sem,"Mega Noviany, Ari Kusyanti, Andi Reza Perdanakusuma",31 Oct 2017
metode fuzzy ahp optimasi particle swarm optimization pso rekomendasi pemilihan tanaman pomologi,"Maulana Putra Pambudi, Imam Cholissodin, Candra Dewi",31 Oct 2017
timing sync sensor networks jaringan sensor multihop,"Budiman Eka Atmaja Timur, Sabriansyah Rizqika Akbar, Mochammad Hannats Hanafi Ichsan",31 Oct 2017
faktor faktor memengaruhi penggunaan smartphone metode structural equation modeling sem,"Nungki Dwi Prastanti, Ari Kusyanti, Andi Reza Perdanakusuma",31 Oct 2017
citra tanda tangan berdasarkan ciri pyramid histogram of oriented gradient phog metode klasifikasi knearest neighbor,"Latifa Nabila Harfiya, Agus Wahyu Widodo, Randy Cahya Wihandika",31 Oct 2017
performansi h h video streaming segi quality of service,"Vico Andrea Budi Harto, Rakhmadhany Primananda, Aswin Suharsono",31 Oct 2017
perbandingan performansi protokol routing olsr solsr wireless mesh network,"Sofyan Ainurrachman, Adhitya Bhawiyuga, Mochammad Hannats Hanafi Ichsan",31 Oct 2017
berita twitter metode improved naive bayes,"Budi Kurniawan, Mochammad Ali Fauzi, Agus Wahyu Widodo",31 Oct 2017
pemilihan properti kota malang metode ahpsaw,"Syafruddin Agustian Putra, Nurul Hidayat, Lailil Muflikhah",31 Oct 2017
algoritma modified knearest neighbor mknn klasifikasi penyakit demam,"Fakihatin Wafiyah, Nurul Hidayat, Rizal Setya Perdana",31 Oct 2017
estimasi biaya pembuatan perangkat lunak metode cocomo ii inagata technosmith studi sistem informasi monitoring evaluasi penerimaan beasiswa santri berprestasi uin malang,"Della Eko Damayanti, Suprapto Suprapto, Andi Reza Perdanakusuma",31 Oct 2017
arsitektur pembangunan webgis analisis kesesuaian lahan pertanian tanaman padi metode gismcda kota batu,"Amaliah Khoirun Nisyak, Fatwa Ramdani, Suprapto Suprapto",31 Oct 2017
metode dempstershafer mendiagnosa penyakit tanaman padi,"Syailendra Orthega, Nurul Hidayat, Edy Santoso",31 Oct 2017
perbandingan metode replikasi server kebutuhan pemulihan bencana studi sistem informasi geografis perusahaan xyz,"Ulfa Khoirul Azizah, Ismiarta Aknuranda, Widhi Yahya",31 Oct 2017
komposisi makanan penderita hipertensi metode particle swarm optimization,"Ayulianita A. Boestari, Dian Eka Ratnawati, Titis Sari Kusuma",31 Oct 2017
elektroniksistem akuntabilitas kinerja instansi pemerintah dinas perindustrian kota malang,"Handoyo Saputra, Fajar Pradana, Bayu Priyambadha",31 Oct 2017
